street,number,plz,place,canton,rooms,area,price
Löwengrube,8,6014,Luzern,LU,3.5,77,1500
Bundesplatz,3,6003,Luzern,LU,3,82,1600
Täschmattstrasse,11,6015,Luzern,LU,1,20,790
Friedenstrasse,7,6004,Luzern,LU,3,60,1980
Weystrasse,25,6004,Luzern,LU,4.5,120,3465
Büttenenhalde,38,6006,Luzern,LU,3.5,81,1960
Matthofring,24,6005,Luzern,LU,4,80,1940
Udelbodenstrasse,2,6014,Luzern,LU,2.5,71,1580
Waldstrasse,5,6015,Luzern,LU,3.5,82,1630
Schädrütistrasse,56,6006,Luzern,LU,3.5,78,1590
Winkelriedstr.,47,6003,Luzern,LU,2,52,1480
Reussinsel,42,6003,Luzern,LU,4.5,124,2510
Winkelriedstrasse,25,6003,Luzern,LU,1.5,56,1620
Hirtenhofstrasse,40,6005,Luzern,LU,4.5,99,1820
Matthofring,32,6005,Luzern,LU,3.5,75,1590
Löwengrube,8,6014,Luzern,LU,3.5,77,1530
Landenbergstrasse,3,6005,Luzern,LU,4.5,130,3290
Rössligasse,16,6004,Luzern,LU,3.5,118,2880
Geissmattstrasse,60,6004,Luzern,LU,2,60,1340
Adligenswilerstrasse,26,6006,Luzern,LU,5.5,180,5200
Cheerstrasse,13,6014,Luzern,LU,3.5,125,2070
Wesemlinstrasse,15,6006,Luzern,LU,4.5,98,2080
Birkenstrasse,12,6003,Luzern,LU,3.5,95,2040
Cysatstrasse,15,6004,Luzern,LU,5,160,4450
Wesemlinstrasse,15,6006,Luzern,LU,4.5,98,2090
St. Anna-Strasse,50,6006,Luzern,LU,4,93,2150
St.-Anna-Strasse,50,6006,Luzern,LU,2.5,66,1570
Grossmatte,2,6014,Luzern,LU,2.5,91,1940
Grossmatte,2,6014,Luzern,LU,3.5,100,1960
St. Karlistrasse,2,6004,Luzern,LU,1,23,740
Täschmattstrasse,11,6015,Luzern,LU,1,20,780
Sempacherstrasse,34,6003,Luzern,LU,1,25,820
Sempacherstrasse,34,6003,Luzern,LU,1,26,830
Lindenstrasse,34,6015,Luzern,LU,1,1,850
Bernerweg,10,6003,Luzern,LU,1,18,880
Birkenstrasse,9,6003,Luzern,LU,1.5,33,955
Fluhmattstrasse,14,6004,Luzern,LU,1,34,966
Hirschengraben,41,6003,Luzern,LU,1,29,990
Sagenmattstrasse,28,6003,Luzern,LU,1.5,32,990
Voltastrasse,40,6005,Luzern,LU,1,36,1090
Unterlachenstrasse,17,6005,Luzern,LU,1.5,43,1090
Schädrütistrasse,35,6006,Luzern,LU,1,36,1100
Moosstrasse,15,6003,Luzern,LU,2.5,40,1150
Kreuzbuchrain,12,6006,Luzern,LU,1.5,33,1200
Wesemlinhöheweg,3,6006,Luzern,LU,2,49,1210
St. Karlistrasse,73,6004,Luzern,LU,2,44,1230
Grabenstrasse,7,6004,Luzern,LU,1,18,1240
Ruopigenstrasse,12,6014,Luzern,LU,1.5,34,1255
Täschmattstrasse,7,6015,Luzern,LU,3.5,75,1260
Seehof,7,6004,Luzern,LU,1.5,30,1270
Moosmattstrasse,54,6005,Luzern,LU,3,57,1270
Biregghofstrasse,15,6005,Luzern,LU,3,62,1270
Fluhmühlerain,9,6015,Luzern,LU,3,58,1290
Rothenhalde,5,6015,Luzern,LU,3,63,1300
Löwengrube,12,6014,Luzern,LU,2.5,64,1300
Stollbergstrasse,18,6003,Luzern,LU,2,36,1310
Heiterweid,12,6015,Luzern,LU,3,85,1313
Schädrütihalde,6,6006,Luzern,LU,2,55,1320
Felsental,9,6006,Luzern,LU,1,19,1325
Sagenmattstrasse,20,6003,Luzern,LU,2,47,1340
Neuweg,8,6003,Luzern,LU,2,49,1345
Sternmattstrasse,18,6005,Luzern,LU,1,19,1350
Gütschstrasse,9,6003,Luzern,LU,2,63,1360
Mozartstr.,9,6004,Luzern,LU,2,52,1370
Vorderrainstrasse,11,6005,Luzern,LU,2.5,61,1380
Längweiherstr.,10,6014,Luzern,LU,2.5,60,1390
Reusszopf,21,6015,Luzern,LU,2.5,57,1390
Längweiherstr.,10,6014,Luzern,LU,2.5,60,1395
Abendweg,1,6006,Luzern,LU,1,33,1400
Buobenmatt,1,6003,Luzern,LU,2,51,1410
Büttenenhalde,61,6006,Luzern,LU,2.5,63,1420
Hofstrasse,14,6006,Luzern,LU,1,17,1425
Bernstrasse,3,6003,Luzern,LU,2.5,35,1430
Bernstrasse,5,6003,Luzern,LU,2.5,35,1430
Kellerstrasse,25,6005,Luzern,LU,3.5,66,1435
Würzenbachmatte,19,6006,Luzern,LU,2.5,69,1440
Fluhmühlerain,3,6015,Luzern,LU,3,60,1440
Täschmattstrasse,11,6015,Luzern,LU,3,60,1450
Rankhofstrasse,30,6006,Luzern,LU,2.5,55,1450
Eisengasse,7,6004,Luzern,LU,2.5,57,1460
Neustadtstrasse,5,6003,Luzern,LU,3.5,64,1470
Geissmattstrasse,60,6004,Luzern,LU,3,57,1470
Bernstrasse,57,6003,Luzern,LU,3,58,1490
Hirschengraben,41,6003,Luzern,LU,2,53,1490
Steinhofstrasse,60,6003,Luzern,LU,3.5,69,1490
Grendelstrasse,19,6004,Luzern,LU,1,47,1490
Hirschengraben,55,6003,Luzern,LU,3,55,1490
Imfangring,28,6005,Luzern,LU,3,57,1500
Grossmatte,2,6014,Luzern,LU,2.5,66,1500
Obergütschstrasse,41,6003,Luzern,LU,3.5,78,1505
Obergrundstrasse,107,6005,Luzern,LU,3,86,1510
Matthofring,34,6005,Luzern,LU,3,65,1520
Ruopigenring,55,6015,Luzern,LU,3.5,73,1530
Grüneggstrasse,38,6005,Luzern,LU,3,68,1530
Bundesplatz,4,6003,Luzern,LU,3,78,1530
Imfangring,28,6005,Luzern,LU,3,57,1550
Sternmattstrasse,18,6006,Luzern,LU,1,30,1550
Bernstrasse,75,6003,Luzern,LU,3.5,73,1550
Rotseestrasse,22,6006,Luzern,LU,3.5,80,1560
Zürichstrasse,38,6004,Luzern,LU,2.5,45,1563
Fluhmühlerain,9,6015,Luzern,LU,4,72,1570
Fluhmühlerain,9,6015,Luzern,LU,4,72,1570
Kellerstrasse,25,6005,Luzern,LU,4.5,70,1580
Dornacherstrasse,15,6003,Luzern,LU,3,63,1580
Sempacherstrasse,40,6003,Luzern,LU,3,63,1580
Würzenbachmatte,21,6006,Luzern,LU,3.5,79,1590
Tribschenstrasse,64,6005,Luzern,LU,3.5,65,1590
Hirschengraben,41,6003,Luzern,LU,2.5,59,1590
Sempacherstrasse,30,6003,Luzern,LU,2.5,55,1590
Büttenenhalde,38,6006,Luzern,LU,2.5,60,1595
Bleicherstrasse,16,6003,Luzern,LU,1,38,1600
Seefeldstrasse,17,6006,Luzern,LU,3.5,72,1600
Matthofring,40,6005,Luzern,LU,3,65,1610
Geissmatthalde,3,6004,Luzern,LU,3,60,1610
Brünigstrasse,18,6005,Luzern,LU,2.5,73,1630
Kreuzbuchstrasse,35,6006,Luzern,LU,2.5,56,1630
Weinmarkt,11,6004,Luzern,LU,2,84,1640
Schädrütihalde,8,6006,Luzern,LU,3.5,84,1640
Kreuzbuchstrasse,35,6006,Luzern,LU,2.5,56,1640
Schädrütihalde,8,6006,Luzern,LU,3.5,84,1640
Kreuzbuchstrasse,35,6006,Luzern,LU,2.5,56,1640
Seefeldstrasse,11,6006,Luzern,LU,3.5,72,1640
Grüneggstrasse,8,6005,Luzern,LU,3,76,1640
Löwengrube,10,6014,Luzern,LU,3.5,78,1640
Murbacherstr.,31,6003,Luzern,LU,2.5,75,1645
Kellerstrasse,32,6005,Luzern,LU,3.5,63,1650
Winkelriedstr.,25,6003,Luzern,LU,1.5,56,1660
Kreuzbuchstrasse,35,6006,Luzern,LU,2.5,56,1660
Kreuzbuchstrasse,35,6006,Luzern,LU,2.5,56,1660
Brünigstrasse,11,6005,Luzern,LU,3,70,1660
Matthofring,24,6005,Luzern,LU,3.5,70,1665
Maihofstrasse,71,6006,Luzern,LU,4,74,1665
Hirtenhofstrasse,83,6005,Luzern,LU,2.5,63,1680
Hertensteinstrasse,32,6004,Luzern,LU,2,56,1680
Bundesplatz,3,6003,Luzern,LU,3,72,1680
Stadthofstrasse,9,6006,Luzern,LU,3.5,65,1680
Winkelriedstrasse,58,6003,Luzern,LU,3.5,90,1690
Gibraltarstrasse,28,6003,Luzern,LU,3.5,88,1695
